2theta,Intensity,Model,Residual,Background,hcp FeNiSi
22.64560525,1086.246704,1082.0473769935336,4.199327006466319,1079.643211704417,2.404165289116741
22.65297087,1086.021118,1081.9741179661573,4.047000033842551,1079.5340014320723,2.4401165340850985
22.66033649,1085.43457,1081.9017481090027,3.532821890997184,1079.4248587236873,2.4768893853153293
22.66770211,1085.904053,1081.8302923642013,4.073760635798635,1079.3157835792615,2.5145087849399457
22.67506774,1086.570557,1081.759776515524,4.810780484476027,1079.206775850846,2.553000664677908
22.68243336,1086.2438960000002,1081.690227611684,4.553668388316282,1079.097835834431,2.5923917772529537
22.68979898,1085.286743,1081.621673435618,3.665069564381838,1078.9889633819753,2.6327100536428185
22.6971646,1083.938843,1081.554142934742,2.3847000652579027,1078.880158493479,2.673984441262942
22.70453022,1083.192749,1081.4876661729309,1.705082827069191,1078.7714211689422,2.7162450039887682
22.71189585,1083.0998539999998,1081.422274293359,1.6775797066409268,1078.6627512608738,2.7595230324851077
22.71926147,1082.8535160000001,1081.3579999256713,1.4955160743288616,1078.5541490643477,2.80385086132352
22.72662709,1083.186157,1081.2948767095584,1.8912802904417276,1078.4456144317805,2.8492622777777203
22.73399271,1083.1795650000001,1081.232939710689,1.9466252893112141,1078.337147363173,2.8957923475159064
22.74135833,1083.4897460000002,1081.1722253936132,2.3175206063870064,1078.228747858525,2.943477535088178
22.74872396,1083.174194,1081.1127716076714,2.0614223923284953,1078.1204157708041,2.9923558368673806
22.75608958,1083.420288,1081.0546179774412,2.3656700225587883,1078.0121513941663,3.0424665832748627
22.7634552,1082.9941410000001,1080.9978054913531,1.9963355086470074,1077.9039545814883,3.0938509098649196
22.77082082,1082.680786,1080.9423769032924,1.738409096707528,1077.7958253327693,3.146551570523195
22.77818645,1082.455688,1080.88837665984,1.567311340159904,1077.6877635013448,3.2006131584952313
22.78555207,1082.223145,1080.835851277185,1.3872937228150022,1077.5797693806364,3.2560818965484626
22.79291769,1081.638794,1080.7848489914406,0.8539450085593216,1077.4718428238875,3.313006167553145
22.80028331,1081.681885,1080.735420149196,0.9464648508039772,1077.3639838310978,3.3714363180981852
