PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),data without elastic peak,error of data without elastic peak
 6.14254E+00, 6.18625E+01, 8.68010E+00
 6.39025E+00, 7.26154E+01, 8.78701E+00
 6.63797E+00, 7.64037E+01, 8.70444E+00
 6.88569E+00, 6.94148E+01, 9.22479E+00
 7.13340E+00, 8.32999E+01, 9.07583E+00
 7.38112E+00, 6.82199E+01, 7.50854E+00
 7.62884E+00, 5.84568E+01, 8.69946E+00
 7.87655E+00, 8.15729E+01, 9.03771E+00
 8.12427E+00, 7.24464E+01, 8.83273E+00
 8.37199E+00, 7.80111E+01, 8.64956E+00
 8.61970E+00, 6.41406E+01, 8.22400E+00
 8.86742E+00, 6.97504E+01, 8.90051E+00
 9.11514E+00, 6.57230E+01, 8.40465E+00
 9.36285E+00, 8.51998E+01, 9.45426E+00
 9.61057E+00, 7.81263E+01, 8.91656E+00
 9.85829E+00, 6.90378E+01, 7.87882E+00
 1.01060E+01, 5.69200E+01, 7.82030E+00
 1.03537E+01, 6.28929E+01, 8.24574E+00
 1.06014E+01, 7.21957E+01, 9.27208E+00
 1.08492E+01, 7.47952E+01, 8.79638E+00
 1.10969E+01, 7.20875E+01, 8.69490E+00
 1.13446E+01, 8.43388E+01, 9.42941E+00
 1.15923E+01, 7.45238E+01, 8.35201E+00
 1.18400E+01, 6.66647E+01, 8.57382E+00
 1.20877E+01, 7.79440E+01, 9.22615E+00
 1.23355E+01, 7.91207E+01, 8.93546E+00
 1.25832E+01, 7.45819E+01, 9.18147E+00
 1.28309E+01, 8.69539E+01, 9.28816E+00
 1.30786E+01, 9.10072E+01, 9.80678E+00
 1.33263E+01, 9.36925E+01, 1.01297E+01
 1.35740E+01, 8.27804E+01, 8.81328E+00
 1.38218E+01, 8.71252E+01, 9.92865E+00
 1.40695E+01, 9.50745E+01, 9.63470E+00
 1.43172E+01, 8.44442E+01, 8.92493E+00
 1.45649E+01, 7.25263E+01, 8.96102E+00
 1.48126E+01, 8.61160E+01, 9.67944E+00
 1.50603E+01, 8.84839E+01, 9.90973E+00
 1.53081E+01, 9.39627E+01, 9.78625E+00
 1.55558E+01, 1.05387E+02, 1.08837E+01
 1.58035E+01, 1.07628E+02, 9.82397E+00
 1.60512E+01, 9.30999E+01, 1.03654E+01
 1.62989E+01, 1.11883E+02, 1.07682E+01
 1.65466E+01, 1.01997E+02, 9.67825E+00
 1.67943E+01, 8.75844E+01, 9.93789E+00
 1.70421E+01, 1.03541E+02, 1.08077E+01
 1.72898E+01, 1.20590E+02, 1.11204E+01
 1.75375E+01, 1.16706E+02, 1.06193E+01
 1.77852E+01, 1.14934E+02, 1.14357E+01
 1.80329E+01, 1.14944E+02, 1.06477E+01
 1.82806E+01, 1.17064E+02, 1.08046E+01
 1.85284E+01, 1.07507E+02, 1.01943E+01
 1.87761E+01, 1.16883E+02, 1.14857E+01
 1.90238E+01, 1.31525E+02, 1.14345E+01
 1.92715E+01, 1.21727E+02, 1.17742E+01
 1.95192E+01, 1.41864E+02, 1.17264E+01
 1.97669E+01, 1.43245E+02, 1.23733E+01
 2.00147E+01, 1.39240E+02, 1.16611E+01
 2.02624E+01, 1.33304E+02, 1.18783E+01
 2.05101E+01, 1.49868E+02, 1.30122E+01
 2.07578E+01, 1.68041E+02, 1.31670E+01
 2.10055E+01, 1.77873E+02, 1.32433E+01
 2.12532E+01, 1.76309E+02, 1.42414E+01
